ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_ddr.box_Total_File_Copy_Failures_17_Rule,Rule,Perf Collection: SMS Outbox - Total File Copy Failures (ddr.box),Perf Collection: Server Outbox ddr.box Total File Copy Failures,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_ddr.box_Total_File_Copy_Failures_17_Rule,Rule,Perf Collection: SMS Outbox - Total File Copy Failures (ddr.box),Perf Collection: Server Outbox ddr.box Total File Copy Failures,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_ddr.box_Total_File_Copy_Failures_17_Rule,Rule,Perf Collection: SMS Outbox - Total File Copy Failures (ddr.box),Perf Collection: Server Outbox ddr.box Total File Copy Failures,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_ddr.box_Total_File_Copy_Failures_17_Rule,Rule,Perf Collection: SMS Outbox - Total File Copy Failures (ddr.box),Perf Collection: Server Outbox ddr.box Total File Copy Failures,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SHV_Condition_Patch_Cookie_is_New_14_Rule,Rule,Perf Collection: Configuration Manager System Health Validator - Compliance newer than health state reference,Perf Collection: SHV Compliance newer than health state reference,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SHV_Condition_Patch_Cookie_is_New_14_Rule,Rule,Perf Collection: Configuration Manager System Health Validator - Compliance newer than health state reference,Perf Collection: SHV Compliance newer than health state reference,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SHV_Condition_Patch_Cookie_is_New_14_Rule,Rule,Perf Collection: Configuration Manager System Health Validator - Compliance newer than health state reference,Perf Collection: SHV Compliance newer than health state reference,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SHV_Condition_Patch_Cookie_is_New_14_Rule,Rule,Perf Collection: Configuration Manager System Health Validator - Compliance newer than health state reference,Perf Collection: SHV Compliance newer than health state reference,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_MP_Status_Mgr_Total_Events_sec_17_Rule,Rule,Perf Collection: SMS MP Status Mgr - Total Events/sec,Perf Collection: MP Status Mgr (Total Events/sec),Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_MP_Status_Mgr_Total_Events_sec_17_Rule,Rule,Perf Collection: SMS MP Status Mgr - Total Events/sec,Perf Collection: MP Status Mgr (Total Events/sec),Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_MP_Status_Mgr_Total_Events_sec_17_Rule,Rule,Perf Collection: SMS MP Status Mgr - Total Events/sec,Perf Collection: MP Status Mgr (Total Events/sec),MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_MP_Status_Mgr_Total_Events_sec_17_Rule,Rule,Perf Collection: SMS MP Status Mgr - Total Events/sec,Perf Collection: MP Status Mgr (Total Events/sec),Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_schedule.box_requests_Backlog_19_Rule,Rule,Perf Collection: SMS Inbox - File Current Count (schedule.box\requests),Perf Collection: Site Server Inbox schedule.box\requests Backlog,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_schedule.box_requests_Backlog_19_Rule,Rule,Perf Collection: SMS Inbox - File Current Count (schedule.box\requests),Perf Collection: Site Server Inbox schedule.box\requests Backlog,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_schedule.box_requests_Backlog_19_Rule,Rule,Perf Collection: SMS Inbox - File Current Count (schedule.box\requests),Perf Collection: Site Server Inbox schedule.box\requests Backlog,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Site_Server_Inbox_schedule.box_requests_Backlog_19_Rule,Rule,Perf Collection: SMS Inbox - File Current Count (schedule.box\requests),Perf Collection: Site Server Inbox schedule.box\requests Backlog,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Total_DDR_Generated_in_full_Active_Directory_System_Discovery,Rule,Perf Collection: SMS AD System Discovery - Total DDRs generated in full discovery,This rule collects the total number of discovery data records (DDRs) generated from Active Directory System Discovery.,Enabled,bool,FALSE,,
