ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.LibraryServerAvailableMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Library Server Available,Monitors whether the library server is available,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.LibraryServerAvailableMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Library Server Available,Monitors whether the library server is available,TimeoutSeconds,int,180,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.LibraryServerAvailableMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Library Server Available,Monitors whether the library server is available,IntervalSeconds,int,180,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,FileName,string,ntevt.dll,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,IntervalSeconds,int,86400,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,ParentPath,string,%windir%\System32\wbem,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate958124Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 958124,Monitors whether the VMM Hyper-V host update 958124 is installed,ExpectedVersion,string,6.0.6000.20929,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CloudFabricMemoryMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Cloud Fabric Memory,Monitors the cloud maximum memory usage against its fabric memory capacity,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CloudFabricMemoryMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Cloud Fabric Memory,Monitors the cloud maximum memory usage against its fabric memory capacity,WarningThreshold,double,80,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CloudFabricMemoryMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Cloud Fabric Memory,Monitors the cloud maximum memory usage against its fabric memory capacity,CriticalThreshold,double,90,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CloudFabricMemoryMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Cloud Fabric Memory,Monitors the cloud maximum memory usage against its fabric memory capacity,IntervalSeconds,int,1800,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.CloudFabricMemoryMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Cloud Fabric Memory,Monitors the cloud maximum memory usage against its fabric memory capacity,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.TierMemberCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Tier Member Count,Monitors whether the virtual machine tier member count is within the specified range,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.TierMemberCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Tier Member Count,Monitors whether the virtual machine tier member count is within the specified range,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.TierMemberCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Tier Member Count,Monitors whether the virtual machine tier member count is within the specified range,IntervalSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleStorageMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole Storage,Monitors the user role Storage quota,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleStorageMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole Storage,Monitors the user role Storage quota,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleStorageMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole Storage,Monitors the user role Storage quota,IntervalSeconds,int,1800,
